0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
Jammu: Indian Army foils possible drone attacks on 2 military camps https://t.co/ZeUlrcxsRW,jammu: indian army foils possible drone attacks on 2 military camps  ,-0.05,0.55,negative,0.244,0.756,0.0,-0.4404,69,11
"RT @goonj: Reaching ration kits to the missed-out migrant workers of J&amp;K
Continuing our ongoing partnership with the Indian Army in J&amp;K und…"," reaching ration kits to the missed-out migrant workers of j&amp;k
continuing our ongoing partnership with the indian army in j&amp;k und…",0.0,0.0,positive,0.0,0.917,0.083,0.2023,138,21
RT @Mahesh10816: Did you know in 1965 China accused Indian army for stealing 800 sheep and 59 Yaks in the Sikkim border area. China threate…, did you know in 1965 china accused indian army for stealing 800 sheep and 59 yaks in the sikkim border area. china threate…,0.0,0.0,negative,0.219,0.781,0.0,-0.7096,124,23
RT @rajnathsingh: Delighted to meet the brave and valiant soldiers of the Indian Army at Karu in Ladakh today. I salute their courage and f…, delighted to meet the brave and valiant soldiers of the indian army at karu in ladakh today. i salute their courage and f…,0.75,0.85,positive,0.0,0.657,0.343,0.872,123,23
"RT @TheQuint: The Indian Army on 28 June, stated that a major threat had been averted ofter two drones were spotted on 27 June night near t…"," the indian army on 28 june, stated that a major threat had been averted ofter two drones were spotted on 27 june night near t…",0.08125,0.45,negative,0.176,0.824,0.0,-0.5719,127,25
RT @SpokespersonMoD: Raksha Mantri Shri @rajnathsingh interacted with the officers and jawans of Indian Army’s 14 Corps at Karu Military St…, raksha mantri shri   interacted with the officers and jawans of indian army’s 14 corps at karu military st…,-0.1,0.1,neutral,0.0,1.0,0.0,0.0,108,18
"RT @ani_digital: Indian Army is capable of giving befitting reply to every challenge: Rajnath Singh

Read @ANI Story | https://t.co/8VABoaa…"," indian army is capable of giving befitting reply to every challenge: rajnath singh

read   story |  ",0.2,0.4,positive,0.0,0.656,0.344,0.6486,101,16
RT @drapr007: Reason behind Increase terror activities in J&amp;K is extreme Chinese pressure on Pakistan to increase tension along LoC so that…, reason behind increase terror activities in j&amp;k is extreme chinese pressure on pakistan to increase tension along loc so that…,-0.17500000000000002,0.5666666666666667,negative,0.287,0.545,0.167,-0.5106,131,20
"RT @viral_fever_07: #restore_gahmar_trains
 @PiyushGoyal @narendramodi   @RailMinIndia @DrmDnr Sir,from Gahmar, at present, about 10000 sol…"," #restore_gahmar_trains
           sir,from gahmar, at present, about 10000 sol…",0.0,0.0,neutral,0.0,1.0,0.0,0.0,80,8
"10th class student about covid pass mark sheet 
He wants to share is experience about mark sheet coz he want to joi… https://t.co/NgRoyvmVd5","10th class student about covid pass mark sheet 
he wants to share is experience about mark sheet coz he want to joi…  ",0.2,0.1,positive,0.0,0.851,0.149,0.3612,118,22
"RT @randm_indianguy: Mc Kode Aka Aditya Tiwari has used cuss Words on Hinduism as well as Indian Army
He is residing in Delhi right now
Aft…"," mc kode aka aditya tiwari has used cuss words on hinduism as well as indian army
he is residing in delhi right now
aft…",0.2857142857142857,0.5357142857142857,positive,0.0,0.916,0.084,0.2732,120,24
